column_0,Tulane,Opponents
Scoring: Points/Game,35.1,20.6
Scoring: Games - Points,14 - 491,14 - 289
First Downs: Total,291,244
First Downs: Rushing - Passing - By Penalty,147 - 119 - 25,102 - 115 - 27
Rushing: Yards / Attempt,4.83,4.48
Rushing: Attempts - Yards - TD,567 - 2739 - 32,456 - 2041 - 20
Passing: Rating,157.37,113.59
Passing: Yards,2931,2488
Passing: Attempts - Completions - Interceptions - TD,329 - 207 - 9 - 25,404 - 235 - 14 - 13
Total Offense: Yards / Play,6.33,5.27
Total Offense: Plays - Yards,896 - 5670,860 - 4529
Punt Returns: Yards / Return,5.08,9.33
Punt Returns: Returns - Yards - TD,12 - 61 - 0,9 - 84 - 0
Kickoff Returns: Yards / Return,24.00,20.48
Kickoff Returns: Returns - Yards - TD,29 - 696 - 2,23 - 471 - 0
Punting: Yards / Punt,42.76,41.48
Punting: Punts - Yards,42 - 1796,60 - 2489
Interceptions: Returns - Yards - TD,14 - 245 - 5,9 - 28 - 0
Fumbles: Number - Lost,13 - 6,17 - 8
Penalties: Number - Yards,86 - 701,80 - 653
Time of Possession / Game,32:13.21,27:46.79
3rd Down Conversions: Conversion %,50.29%,32.95%
3rd Down Conversions: Attempts - Conversions,171 - 86,176 - 58
4th Down Conversions: Conversion %,45.45%,41.38%
4th Down Conversions: Attempts - Conversions,22 - 10,29 - 12
Red Zone: Success %,86.15%,84.09%
Red Zone: Attempts - Scores,65 - 56,44 - 37
Field Goals: Success %,72.2%,90%
Field Goals: Attempts - Made,18 - 13,20 - 18
PAT Kicking: Success %,93.5%,100%
PAT Kicking: Attempts - Made,62 - 58,31 - 31
2-Point Conversions: Success %,66.67%,0%
2-Point Conversions: Attempts - Made,3 - 2,3 - 0
