column_0,Tulsa,Opponents
Scoring: Points/Game,27.1,21.6
Scoring: Games - Points,9 - 244,9 - 194
First Downs: Total,199,174
First Downs: Rushing - Passing - By Penalty,83 - 105 - 11,76 - 75 - 23
Rushing: Yards / Attempt,3.99,3.61
Rushing: Attempts - Yards - TD,356 - 1419 - 13,358 - 1291 - 9
Passing: Rating,127.98,119.38
Passing: Yards,2275,1706
Passing: Attempts - Completions - Interceptions - TD,306 - 173 - 11 - 15,280 - 170 - 6 - 10
Total Offense: Yards / Play,5.58,4.70
Total Offense: Plays - Yards,662 - 3694,638 - 2997
Punt Returns: Yards / Return,3.80,15.62
Punt Returns: Returns - Yards - TD,15 - 57 - 0,13 - 203 - 0
Kickoff Returns: Yards / Return,16.69,23.86
Kickoff Returns: Returns - Yards - TD,16 - 267 - 0,36 - 859 - 0
Punting: Yards / Punt,43.00,40.00
Punting: Punts - Yards,42 - 1806,45 - 1800
Interceptions: Returns - Yards - TD,6 - 158 - 2,11 - 190 - 2
Fumbles: Number - Lost,10 - 7,12 - 10
Penalties: Number - Yards,81 - 742,92 - 674
Time of Possession / Game,28:42.78,31:17.22
3rd Down Conversions: Conversion %,41.73%,32.85%
3rd Down Conversions: Attempts - Conversions,139 - 58,137 - 45
4th Down Conversions: Conversion %,52.94%,50%
4th Down Conversions: Attempts - Conversions,17 - 9,16 - 8
Red Zone: Success %,80%,75%
Red Zone: Attempts - Scores,35 - 28,32 - 24
Field Goals: Success %,75%,68.2%
Field Goals: Attempts - Made,16 - 12,22 - 15
PAT Kicking: Success %,96.3%,100%
PAT Kicking: Attempts - Made,27 - 26,21 - 21
2-Point Conversions: Success %,0%,-
2-Point Conversions: Attempts - Made,2 - 0,0 - 0
