Date,Opponent,Result,Game Time,Attendance
08/30/25,LIU,W 55-0,3:19,89451.0
09/06/25,USF,L 16-18,3:35,89909.0
09/13/25,@ LSU,L 10-20,3:22,102158.0
09/20/25,@ 14 Miami (FL),L 7-26,3:25,66713.0
10/04/25,17 Texas,W 29-21,3:43,90714.0
10/11/25,@ 3 Texas A&M,L 17-34,3:34,105086.0
10/18/25,Mississippi State,W 23-21,3:29,90203.0
11/01/25,+ 4 Georgia,L 20-24,3:34,76131.0
11/08/25,@ Kentucky,L 7-38,2:57,56388.0
11/15/25,@ 5 Ole Miss,L 24-34,3:21,68138.0
11/22/25,20 Tennessee,,,
11/29/25,Florida State,,,
