Split,Record
All Games,9-2
at Home,5-1
on Road/Neutral Site,4-1
vs. Conference,6-2
vs. Non-Conference,3-0
vs. Ranked (AP),0-0
vs. Unranked (AP),9-2
vs. FBS (I-A),8-2
vs. FCS (I-AA),1-0
vs. FBS Winning,3-1
vs. FBS Non-Winning,5-1
vs. BCS AQ,7-2
vs. BCS non-AQ,1-0
vs. FBS Power 5,7-2
vs. FBS non-Power 5,1-0
in August/September,4-1
in October,3-0
in November,2-1
in December/January,0-0
