column_0,Tulane,Opponents
Scoring: Points/Game,24.1,27.7
Scoring: Games - Points,12 - 289,12 - 332
First Downs: Total,208,216
First Downs: Rushing - Passing - By Penalty,131 - 59 - 18,100 - 98 - 18
Rushing: Yards / Attempt,4.63,4.05
Rushing: Attempts - Yards - TD,591 - 2737 - 25,472 - 1911 - 20
Passing: Rating,93.12,123.83
Passing: Yards,1360,2463
Passing: Attempts - Completions - Interceptions - TD,258 - 109 - 8 - 10,344 - 187 - 12 - 17
Total Offense: Yards / Play,4.83,5.36
Total Offense: Plays - Yards,849 - 4097,816 - 4374
Punt Returns: Yards / Return,4.13,2.07
Punt Returns: Returns - Yards - TD,15 - 62 - 0,15 - 31 - 0
Kickoff Returns: Yards / Return,22.25,17.40
Kickoff Returns: Returns - Yards - TD,32 - 712 - 1,30 - 522 - 0
Punting: Yards / Punt,39.56,40.07
Punting: Punts - Yards,73 - 2888,71 - 2845
Interceptions: Returns - Yards - TD,12 - 216 - 1,8 - 147 - 3
Fumbles: Number - Lost,15 - 10,19 - 15
Penalties: Number - Yards,77 - 661,66 - 585
Time of Possession / Game,32:23.50,27:36.50
3rd Down Conversions: Conversion %,27.81%,42.86%
3rd Down Conversions: Attempts - Conversions,187 - 52,189 - 81
4th Down Conversions: Conversion %,55.56%,33.33%
4th Down Conversions: Attempts - Conversions,36 - 20,9 - 3
Red Zone: Success %,76.19%,85.71%
Red Zone: Attempts - Scores,42 - 32,42 - 36
Field Goals: Success %,62.5%,80%
Field Goals: Attempts - Made,16 - 10,15 - 12
PAT Kicking: Success %,97.1%,94.7%
PAT Kicking: Attempts - Made,34 - 33,38 - 36
2-Point Conversions: Success %,66.67%,50%
2-Point Conversions: Attempts - Made,3 - 2,4 - 2
