Split,Record
All Games,6-3
at Home,3-0
on Road/Neutral Site,3-3
vs. Conference,6-1
vs. Non-Conference,0-2
vs. Ranked (AP),0-1
vs. Unranked (AP),6-2
vs. FBS (I-A),6-3
vs. FCS (I-AA),0-0
vs. FBS Winning,2-2
vs. FBS Non-Winning,4-1
vs. BCS AQ,6-3
vs. BCS non-AQ,0-0
vs. FBS Power 5,0-2
vs. FBS non-Power 5,6-1
in August/September,0-1
in October,3-0
in November,2-0
in December/January,1-2
