column_0,Alabama,Opponents
Scoring: Points/Game,38.8,13.0
Scoring: Games - Points,15 - 582,15 - 195
First Downs: Total,315,217
First Downs: Rushing - Passing - By Penalty,181 - 122 - 12,71 - 125 - 21
Rushing: Yards / Attempt,5.75,2.01
Rushing: Attempts - Yards - TD,639 - 3675 - 33,476 - 959 - 5
Passing: Rating,143.35,106.47
Passing: Yards,3154,2968
Passing: Attempts - Completions - Interceptions - TD,417 - 265 - 9 - 26,507 - 273 - 16 - 15
Total Offense: Yards / Play,6.47,3.99
Total Offense: Plays - Yards,"1,056 - 6829",983 - 3927
Punt Returns: Yards / Return,15.53,10.65
Punt Returns: Returns - Yards - TD,34 - 528 - 4,20 - 213 - 0
Kickoff Returns: Yards / Return,19.54,21.26
Kickoff Returns: Returns - Yards - TD,28 - 547 - 0,57 - 1212 - 0
Punting: Yards / Punt,46.85,42.84
Punting: Punts - Yards,65 - 3045,111 - 4755
Interceptions: Returns - Yards - TD,16 - 398 - 6,9 - 96 - 0
Fumbles: Number - Lost,26 - 10,26 - 13
Penalties: Number - Yards,86 - 660,58 - 471
Time of Possession / Game,30:55.93,29:04.07
3rd Down Conversions: Conversion %,43.75%,30.67%
3rd Down Conversions: Attempts - Conversions,208 - 91,238 - 73
4th Down Conversions: Conversion %,58.82%,18.18%
4th Down Conversions: Attempts - Conversions,17 - 10,22 - 4
Red Zone: Success %,89.23%,84%
Red Zone: Attempts - Scores,65 - 58,25 - 21
Field Goals: Success %,75.9%,76.2%
Field Goals: Attempts - Made,29 - 22,21 - 16
PAT Kicking: Success %,98.6%,100%
PAT Kicking: Attempts - Made,73 - 72,19 - 19
2-Point Conversions: Success %,0%,0%
2-Point Conversions: Attempts - Made,1 - 0,2 - 0
