Split,Record
All Games,6-6
at Home,3-3
on Road/Neutral Site,3-3
vs. Conference,2-6
vs. Non-Conference,4-0
vs. Ranked (AP),0-3
vs. Unranked (AP),6-3
vs. FBS (I-A),5-6
vs. FCS (I-AA),1-0
vs. FBS Winning,0-3
vs. FBS Non-Winning,5-3
vs. BCS AQ,4-6
vs. BCS non-AQ,1-0
vs. FBS Power 5,3-6
vs. FBS non-Power 5,2-0
in August/September,4-0
in October,0-4
in November,2-2
in December/January,0-0
