Date,Opponent,Result,Game Time,Attendance
08/30/24,@ Oklahoma,L 3-51,3:29,83329
09/07/24,@ Navy,L 11-38,3:17,28889
09/14/24,Coastal Carolina,L 20-28,2:54,13945
09/21/24,Utah State,W 45-29,3:31,11384
09/26/24,21 Army,L 14-42,3:19,13255
10/05/24,@ Connecticut,L 20-29,3:53,28921
10/19/24,Tulsa,W 20-10,3:31,18721
10/26/24,@ East Carolina,L 34-56,3:36,33744
11/09/24,@ Tulane,L 6-52,3:21,30000
11/16/24,Florida Atlantic,W 18-15,3:38,12291
11/22/24,@ UTSA,L 27-51,3:52,20121
11/30/24,North Texas,L 17-24,3:26,11589
