Split,Record
All Games,14-1
at Home,7-0
on Road/Neutral Site,7-1
vs. Conference,9-0
vs. Non-Conference,5-1
vs. Ranked (AP),5-1
vs. Unranked (AP),9-0
vs. FBS (I-A),13-1
vs. FCS (I-AA),1-0
vs. FBS Winning,10-1
vs. FBS Non-Winning,3-0
vs. BCS AQ,11-1
vs. BCS non-AQ,2-0
vs. FBS Power 5,11-1
vs. FBS non-Power 5,2-0
in August/September,4-0
in October,4-0
in November,4-0
in December/January,2-1
