Split,Record
All Games,3-9
at Home,2-4
on Road/Neutral Site,1-5
vs. Conference,1-7
vs. Non-Conference,2-2
vs. Ranked (AP),0-1
vs. Unranked (AP),3-8
vs. FBS (I-A),2-9
vs. FCS (I-AA),1-0
vs. FBS Winning,1-4
vs. FBS Non-Winning,1-5
vs. BCS AQ,1-8
vs. BCS non-AQ,1-1
vs. FBS Power 5,0-1
vs. FBS non-Power 5,2-8
in August/September,2-3
in October,1-2
in November,0-4
in December/January,0-0
