Split,Record
All Games,7-6
at Home,3-3
on Road/Neutral Site,4-3
vs. Conference,2-6
vs. Non-Conference,5-0
vs. Ranked (AP),0-4
vs. Unranked (AP),7-2
vs. FBS (I-A),6-6
vs. FCS (I-AA),1-0
vs. FBS Winning,2-5
vs. FBS Non-Winning,4-1
vs. BCS AQ,4-6
vs. BCS non-AQ,2-0
vs. FBS Power 5,3-6
vs. FBS non-Power 5,3-0
in August/September,2-2
in October,2-2
in November,2-2
in December/January,1-0
