Date,Opponent,Result,Game Time,Attendance
09/26/20,@ Ole Miss,W 51-35,3:34,13926
10/03/20,South Carolina,W 38-24,3:30,15120
10/10/20,@ 5 Texas A&M,L 38-41,3:22,24709
10/31/20,Missouri,W 41-17,3:27,12049
11/07/20,+ 11 Georgia,W 44-28,3:43,19210
11/14/20,Arkansas,W 63-35,3:21,16116
11/21/20,@ Vanderbilt,W 38-17,3:25,1147
11/28/20,Kentucky,W 34-10,3:10,14453
12/05/20,@ Tennessee,W 31-19,3:24,22943
12/12/20,LSU,L 34-37,3:50,16610
12/19/20,+ 1 Alabama,L 46-52,3:45,16520
12/30/20,+ 8 Oklahoma,L 20-55,3:22,17323
