column_0,Duke,Opponents
Scoring: Points/Game,24.8,38.1
Scoring: Games - Points,11 - 273,11 - 419
First Downs: Total,237,247
First Downs: Rushing - Passing - By Penalty,93 - 118 - 26,121 - 111 - 15
Rushing: Yards / Attempt,3.94,5.08
Rushing: Attempts - Yards - TD,438 - 1724 - 19,462 - 2345 - 31
Passing: Rating,108.44,141.01
Passing: Yards,2449,2548
Passing: Attempts - Completions - Interceptions - TD,391 - 220 - 19 - 11,321 - 184 - 9 - 22
Total Offense: Yards / Play,5.03,6.25
Total Offense: Plays - Yards,829 - 4173,783 - 4893
Punt Returns: Yards / Return,9.44,0.75
Punt Returns: Returns - Yards - TD,18 - 170 - 1,16 - 12 - 1
Kickoff Returns: Yards / Return,20.11,21.92
Kickoff Returns: Returns - Yards - TD,35 - 704 - 0,25 - 548 - 0
Punting: Yards / Punt,42.15,41.04
Punting: Punts - Yards,54 - 2276,53 - 2175
Interceptions: Returns - Yards - TD,9 - 36 - 0,19 - 207 - 0
Fumbles: Number - Lost,26 - 20,16 - 11
Penalties: Number - Yards,62 - 562,59 - 587
Time of Possession / Game,28:34.00,31:26.00
3rd Down Conversions: Conversion %,38.69%,41.29%
3rd Down Conversions: Attempts - Conversions,168 - 65,155 - 64
4th Down Conversions: Conversion %,47.83%,66.67%
4th Down Conversions: Attempts - Conversions,23 - 11,21 - 14
Red Zone: Success %,80%,84.09%
Red Zone: Attempts - Scores,35 - 28,44 - 37
Field Goals: Success %,86.7%,76.9%
Field Goals: Attempts - Made,15 - 13,13 - 10
PAT Kicking: Success %,93.8%,98.1%
PAT Kicking: Attempts - Made,32 - 30,54 - 53
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
