column_0,Boston College,Opponents
Scoring: Points/Game,24.7,22.2
Scoring: Games - Points,12 - 296,12 - 266
First Downs: Total,231,223
First Downs: Rushing - Passing - By Penalty,121 - 87 - 23,106 - 94 - 23
Rushing: Yards / Attempt,4.11,4.53
Rushing: Attempts - Yards - TD,479 - 1971 - 21,451 - 2043 - 15
Passing: Rating,123.72,123.01
Passing: Yards,2217,2082
Passing: Attempts - Completions - Interceptions - TD,304 - 169 - 11 - 13,309 - 179 - 10 - 14
Total Offense: Yards / Play,5.35,5.43
Total Offense: Plays - Yards,783 - 4188,760 - 4125
Punt Returns: Yards / Return,4.67,11.78
Punt Returns: Returns - Yards - TD,15 - 70 - 0,18 - 212 - 1
Kickoff Returns: Yards / Return,25.91,20.31
Kickoff Returns: Returns - Yards - TD,23 - 596 - 1,29 - 589 - 1
Punting: Yards / Punt,44.23,42.04
Punting: Punts - Yards,53 - 2344,56 - 2354
Interceptions: Returns - Yards - TD,10 - 27 - 1,11 - 13 - 0
Fumbles: Number - Lost,15 - 7,11 - 7
Penalties: Number - Yards,65 - 596,84 - 732
Time of Possession / Game,29:42.33,29:22.25
3rd Down Conversions: Conversion %,39.62%,34.69%
3rd Down Conversions: Attempts - Conversions,159 - 63,147 - 51
4th Down Conversions: Conversion %,54.55%,50%
4th Down Conversions: Attempts - Conversions,22 - 12,22 - 11
Red Zone: Success %,84.09%,76.92%
Red Zone: Attempts - Scores,44 - 37,39 - 30
Field Goals: Success %,92.9%,92.9%
Field Goals: Attempts - Made,14 - 13,14 - 13
PAT Kicking: Success %,97.2%,96.9%
PAT Kicking: Attempts - Made,36 - 35,32 - 31
2-Point Conversions: Success %,0%,-
2-Point Conversions: Attempts - Made,1 - 0,0 - 0
