Split,Record
All Games,6-6
at Home,4-3
on Road/Neutral Site,2-3
vs. Conference,4-4
vs. Non-Conference,2-2
vs. Ranked (AP),0-4
vs. Unranked (AP),6-2
vs. FBS (I-A),5-6
vs. FCS (I-AA),1-0
vs. FBS Winning,1-4
vs. FBS Non-Winning,4-2
vs. BCS AQ,5-5
vs. BCS non-AQ,0-1
vs. FBS Power 5,5-4
vs. FBS non-Power 5,0-2
in August/September,3-2
in October,3-1
in November,0-3
in December/January,0-0
