Split,Record
All Games,9-4
at Home,5-1
on Road/Neutral Site,4-3
vs. Conference,5-3
vs. Non-Conference,4-1
vs. Ranked (AP),0-3
vs. Unranked (AP),9-1
vs. FBS (I-A),8-4
vs. FCS (I-AA),1-0
vs. FBS Winning,1-4
vs. FBS Non-Winning,7-0
vs. BCS AQ,6-4
vs. BCS non-AQ,2-0
vs. FBS Power 5,6-4
vs. FBS non-Power 5,2-0
in August/September,5-0
in October,1-2
in November,3-1
in December/January,0-1
