column_0,Virginia,Opponents
Scoring: Points/Game,22.7,28.8
Scoring: Games - Points,12 - 272,12 - 345
First Downs: Total,234,238
First Downs: Rushing - Passing - By Penalty,99 - 116 - 19,98 - 123 - 17
Rushing: Yards / Attempt,3.66,4.13
Rushing: Attempts - Yards - TD,432 - 1583 - 14,422 - 1743 - 20
Passing: Rating,125.11,141.89
Passing: Yards,2748,3157
Passing: Attempts - Completions - Interceptions - TD,401 - 246 - 14 - 16,392 - 243 - 9 - 20
Total Offense: Yards / Play,5.20,6.02
Total Offense: Plays - Yards,833 - 4331,814 - 4900
Punt Returns: Yards / Return,6.32,4.95
Punt Returns: Returns - Yards - TD,19 - 120 - 0,20 - 99 - 0
Kickoff Returns: Yards / Return,17.05,13.53
Kickoff Returns: Returns - Yards - TD,19 - 324 - 0,19 - 257 - 0
Punting: Yards / Punt,43.84,43.96
Punting: Punts - Yards,58 - 2543,46 - 2022
Interceptions: Returns - Yards - TD,9 - 80 - 0,14 - 229 - 1
Fumbles: Number - Lost,14 - 5,14 - 6
Penalties: Number - Yards,62 - 544,85 - 729
Time of Possession / Game,29:53.83,30:06.08
3rd Down Conversions: Conversion %,34.25%,38.55%
3rd Down Conversions: Attempts - Conversions,181 - 62,166 - 64
4th Down Conversions: Conversion %,51.72%,62.5%
4th Down Conversions: Attempts - Conversions,29 - 15,24 - 15
Red Zone: Success %,79.55%,88.46%
Red Zone: Attempts - Scores,44 - 35,52 - 46
Field Goals: Success %,85.7%,74.1%
Field Goals: Attempts - Made,21 - 18,27 - 20
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,24 - 24,39 - 39
2-Point Conversions: Success %,57.14%,0%
2-Point Conversions: Attempts - Made,7 - 4,2 - 0
