Split,Record
All Games,5-7
at Home,5-3
on Road/Neutral Site,0-4
vs. Conference,2-6
vs. Non-Conference,3-1
vs. Ranked (AP),0-5
vs. Unranked (AP),5-2
vs. FBS (I-A),4-7
vs. FCS (I-AA),1-0
vs. FBS Winning,2-7
vs. FBS Non-Winning,2-0
vs. BCS AQ,2-7
vs. BCS non-AQ,2-0
vs. FBS Power 5,2-7
vs. FBS non-Power 5,2-0
in August/September,3-1
in October,0-4
in November,2-2
in December/January,0-0
