Date,Opponent,Result,Game Time,Attendance
08/31/19,@ Pittsburgh,W 30-14,3:08,47144
09/06/19,William & Mary,W 52-17,2:53,45250
09/14/19,Florida State,W 31-24,3:27,57826
09/21/19,Old Dominion,W 28-17,3:17,44573
09/28/19,@ 12 Notre Dame,L 20-35,3:24,77622
10/11/19,@ Miami (FL),L 9-17,3:16,54538
10/19/19,Duke,W 48-14,3:12,52847
10/26/19,@ Louisville,L 21-28,3:23,48689
11/02/19,@ North Carolina,W 38-31,3:08,50500
11/09/19,Georgia Tech,W 33-28,3:12,44596
11/23/19,Liberty,W 55-27,3:29,37329
11/29/19,Virginia Tech,W 39-30,3:34,52619
12/07/19,+ 2 Clemson,L 17-62,3:18,66810
12/30/19,+ 6 Florida,L 28-36,3:33,65157
