Date,Opponent,Result,Game Time,Attendance
09/03/22,Mercer,W 42-16,4:33,84562
09/10/22,San Jose State,W 24-16,3:27,83340
09/17/22,7 Penn State,L 12-41,3:28,87451
09/24/22,Missouri,W 17-14,3:28,85750
10/01/22,16 LSU,L 17-21,3:34,87451
10/08/22,@ 1 Georgia,L 10-42,3:19,92746
10/15/22,@ Ole Miss,L 34-48,4:19,65243
10/29/22,Arkansas,L 27-41,3:30,83792
11/05/22,@ 20 Mississippi State,L 33-39,4:05,57769
11/12/22,Texas A&M,W 13-10,3:26,87451
11/19/22,Western Kentucky,W 41-17,3:33,81824
11/26/22,@ 5 Alabama,L 27-49,3:28,100077
