Split,Record
All Games,7-6
at Home,3-4
on Road/Neutral Site,4-2
vs. Conference,3-5
vs. Non-Conference,4-1
vs. Ranked (AP),1-2
vs. Unranked (AP),6-4
vs. FBS (I-A),6-6
vs. FCS (I-AA),1-0
vs. FBS Winning,2-5
vs. FBS Non-Winning,4-1
vs. BCS AQ,4-5
vs. BCS non-AQ,2-1
vs. FBS Power 5,3-5
vs. FBS non-Power 5,3-1
in August/September,2-3
in October,3-0
in November,1-3
in December/January,1-0
