column_0,Florida,Opponents
Scoring: Points/Game,35.0,20.0
Scoring: Games - Points,13 - 455,13 - 260
First Downs: Total,284,231
First Downs: Rushing - Passing - By Penalty,144 - 123 - 17,105 - 99 - 27
Rushing: Yards / Attempt,5.27,4.29
Rushing: Attempts - Yards - TD,526 - 2771 - 23,492 - 2113 - 13
Passing: Rating,145.76,112.69
Passing: Yards,2776,2350
Passing: Attempts - Completions - Interceptions - TD,364 - 217 - 6 - 28,380 - 206 - 14 - 16
Total Offense: Yards / Play,6.23,5.12
Total Offense: Plays - Yards,890 - 5547,872 - 4463
Punt Returns: Yards / Return,9.81,8.56
Punt Returns: Returns - Yards - TD,27 - 265 - 2,16 - 137 - 0
Kickoff Returns: Yards / Return,19.27,19.50
Kickoff Returns: Returns - Yards - TD,11 - 212 - 0,34 - 663 - 0
Punting: Yards / Punt,43.64,42.81
Punting: Punts - Yards,56 - 2444,73 - 3125
Interceptions: Returns - Yards - TD,14 - 266 - 4,6 - 24 - 0
Fumbles: Number - Lost,17 - 8,16 - 12
Penalties: Number - Yards,95 - 789,87 - 681
Time of Possession / Game,29:56.00,30:03.38
3rd Down Conversions: Conversion %,41.62%,37.44%
3rd Down Conversions: Attempts - Conversions,173 - 72,195 - 73
4th Down Conversions: Conversion %,55%,39.13%
4th Down Conversions: Attempts - Conversions,20 - 11,23 - 9
Red Zone: Success %,83.93%,90.63%
Red Zone: Attempts - Scores,56 - 47,32 - 29
Field Goals: Success %,90%,73.9%
Field Goals: Attempts - Made,20 - 18,23 - 17
PAT Kicking: Success %,100%,96.2%
PAT Kicking: Attempts - Made,55 - 55,26 - 25
2-Point Conversions: Success %,0%,33.33%
2-Point Conversions: Attempts - Made,2 - 0,3 - 1
