column_0,Boston College,Opponents
Scoring: Points/Game,24.6,34.6
Scoring: Games - Points,11 - 271,11 - 381
First Downs: Total,230,241
First Downs: Rushing - Passing - By Penalty,76 - 137 - 17,88 - 128 - 25
Rushing: Yards / Attempt,3.17,5.08
Rushing: Attempts - Yards - TD,348 - 1102 - 12,382 - 1942 - 24
Passing: Rating,132.84,153.41
Passing: Yards,3066,3003
Passing: Attempts - Completions - Interceptions - TD,428 - 269 - 12 - 20,356 - 230 - 6 - 23
Total Offense: Yards / Play,5.37,6.70
Total Offense: Plays - Yards,776 - 4168,738 - 4945
Punt Returns: Yards / Return,10.38,3.00
Punt Returns: Returns - Yards - TD,13 - 135 - 0,13 - 39 - 0
Kickoff Returns: Yards / Return,18.80,21.67
Kickoff Returns: Returns - Yards - TD,20 - 376 - 0,21 - 455 - 0
Punting: Yards / Punt,40.24,43.02
Punting: Punts - Yards,49 - 1972,42 - 1807
Interceptions: Returns - Yards - TD,6 - 76 - 1,12 - 91 - 1
Fumbles: Number - Lost,10 - 9,12 - 6
Penalties: Number - Yards,67 - 565,73 - 654
Time of Possession / Game,29:29.27,30:30.73
3rd Down Conversions: Conversion %,37.66%,42.45%
3rd Down Conversions: Attempts - Conversions,154 - 58,139 - 59
4th Down Conversions: Conversion %,55.17%,58.82%
4th Down Conversions: Attempts - Conversions,29 - 16,17 - 10
Red Zone: Success %,84.21%,88.37%
Red Zone: Attempts - Scores,38 - 32,43 - 38
Field Goals: Success %,100%,84.2%
Field Goals: Attempts - Made,14 - 14,19 - 16
PAT Kicking: Success %,100%,95.6%
PAT Kicking: Attempts - Made,31 - 31,45 - 43
2-Point Conversions: Success %,0%,33.33%
2-Point Conversions: Attempts - Made,2 - 0,3 - 1
