Split,Record
All Games,7-6
at Home,2-4
on Road/Neutral Site,5-2
vs. Conference,4-4
vs. Non-Conference,3-2
vs. Ranked (AP),0-4
vs. Unranked (AP),7-2
vs. FBS (I-A),7-6
vs. FCS (I-AA),0-0
vs. FBS Winning,4-6
vs. FBS Non-Winning,3-0
vs. BCS AQ,5-6
vs. BCS non-AQ,2-0
vs. FBS Power 5,4-5
vs. FBS non-Power 5,3-1
in August/September,2-3
in October,3-1
in November,2-1
in December/January,0-1
