Split,Record
All Games,5-7
at Home,4-2
on Road/Neutral Site,1-5
vs. Conference,3-5
vs. Non-Conference,2-2
vs. Ranked (AP),0-3
vs. Unranked (AP),5-4
vs. FBS (I-A),4-7
vs. FCS (I-AA),1-0
vs. FBS Winning,2-6
vs. FBS Non-Winning,2-1
vs. BCS AQ,3-6
vs. BCS non-AQ,1-1
vs. FBS Power 5,0-1
vs. FBS non-Power 5,4-6
in August/September,2-2
in October,1-3
in November,2-2
in December/January,0-0
