column_0,Duke,Opponents
Scoring: Points/Game,29.4,27.4
Scoring: Games - Points,13 - 382,13 - 356
First Downs: Total,267,272
First Downs: Rushing - Passing - By Penalty,113 - 137 - 17,134 - 124 - 14
Rushing: Yards / Attempt,4.32,4.98
Rushing: Attempts - Yards - TD,480 - 2075 - 19,546 - 2721 - 27
Passing: Rating,132.15,118.41
Passing: Yards,3199,2593
Passing: Attempts - Completions - Interceptions - TD,476 - 278 - 10 - 31,418 - 229 - 4 - 17
Total Offense: Yards / Play,5.52,5.51
Total Offense: Plays - Yards,956 - 5274,964 - 5314
Punt Returns: Yards / Return,5.71,8.69
Punt Returns: Returns - Yards - TD,28 - 160 - 0,26 - 226 - 1
Kickoff Returns: Yards / Return,19.46,19.65
Kickoff Returns: Returns - Yards - TD,37 - 720 - 0,43 - 845 - 0
Punting: Yards / Punt,40.35,40.03
Punting: Punts - Yards,71 - 2865,76 - 3042
Interceptions: Returns - Yards - TD,4 - 76 - 1,9 - 94 - 2
Fumbles: Number - Lost,17 - 10,23 - 9
Penalties: Number - Yards,54 - 452,69 - 669
Time of Possession / Game,27:49.62,32:10.08
3rd Down Conversions: Conversion %,42.44%,40%
3rd Down Conversions: Attempts - Conversions,205 - 87,195 - 78
4th Down Conversions: Conversion %,42.86%,44%
4th Down Conversions: Attempts - Conversions,28 - 12,25 - 11
Red Zone: Success %,85.11%,82.93%
Red Zone: Attempts - Scores,47 - 40,41 - 34
Field Goals: Success %,69.2%,46.7%
Field Goals: Attempts - Made,13 - 9,15 - 7
PAT Kicking: Success %,96.1%,91.1%
PAT Kicking: Attempts - Made,51 - 49,45 - 41
2-Point Conversions: Success %,-,66.67%
2-Point Conversions: Attempts - Made,0 - 0,3 - 2
