column_0,Florida,Opponents
Scoring: Points/Game,39.8,30.8
Scoring: Games - Points,12 - 478,12 - 370
First Downs: Total,316,274
First Downs: Rushing - Passing - By Penalty,87 - 202 - 27,118 - 138 - 18
Rushing: Yards / Attempt,4.29,4.56
Rushing: Attempts - Yards - TD,367 - 1575 - 12,449 - 2046 - 16
Passing: Rating,176.41,147.99
Passing: Yards,4543,3090
Passing: Attempts - Completions - Interceptions - TD,473 - 321 - 10 - 46,398 - 255 - 9 - 28
Total Offense: Yards / Play,7.28,6.06
Total Offense: Plays - Yards,840 - 6118,847 - 5136
Punt Returns: Yards / Return,12.64,10.33
Punt Returns: Returns - Yards - TD,11 - 139 - 1,3 - 31 - 0
Kickoff Returns: Yards / Return,19.43,19.04
Kickoff Returns: Returns - Yards - TD,14 - 272 - 0,28 - 533 - 0
Punting: Yards / Punt,45.97,42.89
Punting: Punts - Yards,29 - 1333,57 - 2445
Interceptions: Returns - Yards - TD,8 - 84 - 0,10 - 247 - 4
Fumbles: Number - Lost,15 - 9,12 - 7
Penalties: Number - Yards,64 - 542,71 - 648
Time of Possession / Game,30:30.08,29:29.92
3rd Down Conversions: Conversion %,50%,41.07%
3rd Down Conversions: Attempts - Conversions,140 - 70,168 - 69
4th Down Conversions: Conversion %,58.33%,65.22%
4th Down Conversions: Attempts - Conversions,12 - 7,23 - 15
Red Zone: Success %,90.32%,84.44%
Red Zone: Attempts - Scores,62 - 56,45 - 38
Field Goals: Success %,79.2%,85.7%
Field Goals: Attempts - Made,24 - 19,14 - 12
PAT Kicking: Success %,100%,97.8%
PAT Kicking: Attempts - Made,59 - 59,45 - 44
2-Point Conversions: Success %,100%,33.33%
2-Point Conversions: Attempts - Made,1 - 1,3 - 1
