Date,Opponent,Result,Game Time,Attendance
08/31/24,Alabama A&M,W 73-3,3:14,88043
09/07/24,California,L 14-21,3:26,88043
09/14/24,New Mexico,W 45-19,3:44,88043
09/21/24,Arkansas,L 14-24,3:29,88043
09/28/24,Oklahoma,L 21-27,3:24,88043
10/05/24,@ 6 Georgia,L 13-31,3:25,93033
10/19/24,@ 22 Missouri,L 17-21,3:32,62621
10/26/24,@ Kentucky,W 24-10,3:09,60605
11/02/24,Vanderbilt,L 7-17,3:21,88043
11/16/24,Louisiana-Monroe,W 48-14,3:08,88043
11/23/24,Texas A&M,W 43-41,4:10,88043
11/30/24,@ 17 Alabama,L 14-28,3:25,100077
