Split,Record
All Games,2-9
at Home,1-4
on Road/Neutral Site,1-5
vs. Conference,1-9
vs. Non-Conference,1-0
vs. Ranked (AP),0-4
vs. Unranked (AP),2-5
vs. FBS (I-A),2-9
vs. FCS (I-AA),0-0
vs. FBS Winning,0-5
vs. FBS Non-Winning,2-4
vs. BCS AQ,1-9
vs. BCS non-AQ,1-0
vs. FBS Power 5,1-9
vs. FBS non-Power 5,1-0
in August/September,0-3
in October,2-2
in November,0-2
in December/January,0-2
