Date,Opponent,Result,Game Time,Attendance
08/28/25,Elon,W 45-17,3:03,15677.0
09/06/25,Illinois,L 19-45,3:40,23893.0
09/13/25,@ 24 Tulane,L 27-34,3:40,30000.0
09/20/25,NC State,W 45-33,3:29,30022.0
09/27/25,@ Syracuse,W 38-3,3:12,44451.0
10/04/25,@ California,W 45-21,3:23,42240.0
10/18/25,15 Georgia Tech,L 18-27,3:25,27846.0
11/01/25,@ Clemson,W 46-45,3:42,75809.0
11/08/25,@ Connecticut,L 34-37,3:26,38106.0
11/15/25,19 Virginia,L 17-34,3:21,27215.0
11/22/25,@ North Carolina,,,
11/29/25,Wake Forest,,,
