Date,Opponent,Result,Game Time,Attendance
09/01/18,Richmond,W 42-13,2:59,40524
09/08/18,@ Indiana,L 16-20,3:04,35492
09/15/18,Ohio,W 45-31,3:22,5438
09/22/18,Louisville,W 27-3,2:45,34446
09/29/18,@ NC State,L 21-35,3:15,57600
10/13/18,Miami (FL),W 16-13,3:14,42393
10/20/18,@ Duke,W 28-14,3:16,20277
10/27/18,North Carolina,W 31-21,3:05,43128
11/02/18,Pittsburgh,L 13-23,3:15,36256
11/10/18,Liberty,W 45-24,2:51,41485
11/17/18,@ Georgia Tech,L 27-30,3:06,37543
11/23/18,@ Virginia Tech,L 31-34,3:46,60776
12/29/18,+ South Carolina,W 28-0,3:16,48263
