column_0,Boston College,Opponents
Scoring: Points/Game,17.8,30.3
Scoring: Games - Points,12 - 213,12 - 364
First Downs: Total,202,239
First Downs: Rushing - Passing - By Penalty,65 - 121 - 16,99 - 115 - 25
Rushing: Yards / Attempt,2.09,4.39
Rushing: Attempts - Yards - TD,363 - 759 - 6,458 - 2009 - 25
Passing: Rating,125.55,134.08
Passing: Yards,2965,2534
Passing: Attempts - Completions - Interceptions - TD,440 - 262 - 14 - 21,348 - 205 - 7 - 19
Total Offense: Yards / Play,4.64,5.64
Total Offense: Plays - Yards,803 - 3724,806 - 4543
Punt Returns: Yards / Return,5.67,5.92
Punt Returns: Returns - Yards - TD,15 - 85 - 0,12 - 71 - 0
Kickoff Returns: Yards / Return,21.53,27.64
Kickoff Returns: Returns - Yards - TD,30 - 646 - 0,22 - 608 - 1
Punting: Yards / Punt,40.26,42.27
Punting: Punts - Yards,73 - 2939,60 - 2536
Interceptions: Returns - Yards - TD,7 - 87 - 0,14 - 37 - 0
Fumbles: Number - Lost,21 - 12,15 - 7
Penalties: Number - Yards,72 - 582,81 - 623
Time of Possession / Game,28:57.42,30:54.33
3rd Down Conversions: Conversion %,32.76%,36.81%
3rd Down Conversions: Attempts - Conversions,174 - 57,163 - 60
4th Down Conversions: Conversion %,44.44%,21.43%
4th Down Conversions: Attempts - Conversions,18 - 8,14 - 3
Red Zone: Success %,81.25%,87.5%
Red Zone: Attempts - Scores,32 - 26,48 - 42
Field Goals: Success %,52.9%,85.7%
Field Goals: Attempts - Made,17 - 9,21 - 18
PAT Kicking: Success %,96%,92.7%
PAT Kicking: Attempts - Made,25 - 24,41 - 38
2-Point Conversions: Success %,0%,25%
2-Point Conversions: Attempts - Made,2 - 0,4 - 1
