column_0,Virginia,Opponents
Scoring: Points/Game,32.1,27.1
Scoring: Games - Points,14 - 449,14 - 380
First Downs: Total,296,266
First Downs: Rushing - Passing - By Penalty,89 - 180 - 27,117 - 125 - 24
Rushing: Yards / Attempt,3.84,3.89
Rushing: Attempts - Yards - TD,442 - 1697 - 28,497 - 1934 - 23
Passing: Rating,134.19,136.37
Passing: Yards,3748,3272
Passing: Attempts - Completions - Interceptions - TD,520 - 337 - 15 - 23,409 - 231 - 12 - 23
Total Offense: Yards / Play,5.66,5.75
Total Offense: Plays - Yards,962 - 5445,906 - 5206
Punt Returns: Yards / Return,6.08,12.90
Punt Returns: Returns - Yards - TD,26 - 158 - 0,10 - 129 - 0
Kickoff Returns: Yards / Return,28.67,24.90
Kickoff Returns: Returns - Yards - TD,42 - 1204 - 2,20 - 498 - 0
Punting: Yards / Punt,41.93,39.94
Punting: Punts - Yards,57 - 2390,63 - 2516
Interceptions: Returns - Yards - TD,12 - 279 - 2,15 - 115 - 1
Fumbles: Number - Lost,16 - 6,8 - 6
Penalties: Number - Yards,66 - 612,83 - 659
Time of Possession / Game,33:03.43,26:56.57
3rd Down Conversions: Conversion %,45.32%,36.02%
3rd Down Conversions: Attempts - Conversions,203 - 92,186 - 67
4th Down Conversions: Conversion %,56.25%,52%
4th Down Conversions: Attempts - Conversions,16 - 9,25 - 13
Red Zone: Success %,86.96%,84.09%
Red Zone: Attempts - Scores,69 - 60,44 - 37
Field Goals: Success %,83.3%,71.4%
Field Goals: Attempts - Made,24 - 20,21 - 15
PAT Kicking: Success %,96.2%,100%
PAT Kicking: Attempts - Made,53 - 51,47 - 47
2-Point Conversions: Success %,33.33%,0%
2-Point Conversions: Attempts - Made,3 - 1,1 - 0
