Split,Record
All Games,7-6
at Home,4-2
on Road/Neutral Site,3-4
vs. Conference,5-3
vs. Non-Conference,2-3
vs. Ranked (AP),0-2
vs. Unranked (AP),7-4
vs. FBS (I-A),6-6
vs. FCS (I-AA),1-0
vs. FBS Winning,2-5
vs. FBS Non-Winning,4-1
vs. BCS AQ,5-5
vs. BCS non-AQ,1-1
vs. FBS Power 5,0-2
vs. FBS non-Power 5,6-4
in August/September,2-3
in October,1-2
in November,3-1
in December/January,1-0
