Date,Opponent,Result,Game Time,Attendance
09/02/22,Temple,W 30-0,2:53,20722
09/10/22,@ Northwestern,W 31-23,3:24,24622
09/17/22,North Carolina A&T,W 49-20,2:58,32802
09/24/22,@ Kansas,L 27-35,3:14,47233
10/01/22,Virginia,W 38-17,3:05,15152
10/08/22,@ Georgia Tech,L 20-23,3:27,32041
10/15/22,North Carolina,L 35-38,3:35,40004
10/22/22,@ Miami (FL),W 45-21,3:15,57421
11/04/22,@ Boston College,W 38-31,3:25,34092
11/12/22,Virginia Tech,W 24-7,2:48,20857
11/19/22,@ 22 Pittsburgh,L 26-28,3:29,45362
11/26/22,Wake Forest,W 34-31,3:12,17492
12/28/22,+ UCF,W 30-13,3:09,17974
