Split,Record
All Games,8-5
at Home,6-1
on Road/Neutral Site,2-4
vs. Conference,4-4
vs. Non-Conference,4-1
vs. Ranked (AP),0-0
vs. Unranked (AP),8-5
vs. FBS (I-A),7-5
vs. FCS (I-AA),1-0
vs. FBS Winning,4-2
vs. FBS Non-Winning,3-3
vs. BCS AQ,5-5
vs. BCS non-AQ,2-0
vs. FBS Power 5,5-5
vs. FBS non-Power 5,2-0
in August/September,3-2
in October,3-0
in November,1-3
in December/January,1-0
