column_0,Temple,Opponents
Scoring: Points/Game,21.1,35.7
Scoring: Games - Points,12 - 253,12 - 428
First Downs: Total,247,277
First Downs: Rushing - Passing - By Penalty,63 - 155 - 29,130 - 128 - 19
Rushing: Yards / Attempt,3.47,4.64
Rushing: Attempts - Yards - TD,331 - 1148 - 9,513 - 2380 - 25
Passing: Rating,119.24,164.42
Passing: Yards,3320,2919
Passing: Attempts - Completions - Interceptions - TD,508 - 283 - 16 - 23,328 - 211 - 3 - 27
Total Offense: Yards / Play,5.33,6.30
Total Offense: Plays - Yards,839 - 4468,841 - 5299
Punt Returns: Yards / Return,5.43,15.13
Punt Returns: Returns - Yards - TD,14 - 76 - 0,8 - 121 - 1
Kickoff Returns: Yards / Return,17.64,18.30
Kickoff Returns: Returns - Yards - TD,39 - 688 - 1,20 - 366 - 0
Punting: Yards / Punt,39.09,40.38
Punting: Punts - Yards,44 - 1720,45 - 1817
Interceptions: Returns - Yards - TD,3 - 2 - 0,16 - 79 - 1
Fumbles: Number - Lost,14 - 9,13 - 2
Penalties: Number - Yards,54 - 440,70 - 669
Time of Possession / Game,28:21.75,31:38.25
3rd Down Conversions: Conversion %,38.15%,46.99%
3rd Down Conversions: Attempts - Conversions,173 - 66,166 - 78
4th Down Conversions: Conversion %,51.11%,61.11%
4th Down Conversions: Attempts - Conversions,45 - 23,18 - 11
Red Zone: Success %,69.44%,84.91%
Red Zone: Attempts - Scores,36 - 25,53 - 45
Field Goals: Success %,58.3%,80%
Field Goals: Attempts - Made,12 - 7,20 - 16
PAT Kicking: Success %,92.3%,100%
PAT Kicking: Attempts - Made,26 - 24,52 - 52
2-Point Conversions: Success %,71.43%,50%
2-Point Conversions: Attempts - Made,7 - 5,2 - 1
