column_0,Virginia,Opponents
Scoring: Points/Game,23.3,33.8
Scoring: Games - Points,12 - 279,12 - 405
First Downs: Total,252,259
First Downs: Rushing - Passing - By Penalty,101 - 127 - 24,119 - 119 - 21
Rushing: Yards / Attempt,3.12,5.10
Rushing: Attempts - Yards - TD,454 - 1415 - 12,434 - 2214 - 27
Passing: Rating,135.24,133.67
Passing: Yards,3010,2697
Passing: Attempts - Completions - Interceptions - TD,396 - 248 - 14 - 19,378 - 232 - 8 - 19
Total Offense: Yards / Play,5.21,6.05
Total Offense: Plays - Yards,850 - 4425,812 - 4911
Punt Returns: Yards / Return,3.81,11.79
Punt Returns: Returns - Yards - TD,16 - 61 - 0,19 - 224 - 2
Kickoff Returns: Yards / Return,20.47,22.77
Kickoff Returns: Returns - Yards - TD,19 - 389 - 0,31 - 706 - 2
Punting: Yards / Punt,41.61,42.21
Punting: Punts - Yards,66 - 2746,56 - 2364
Interceptions: Returns - Yards - TD,8 - 80 - 1,14 - 76 - 1
Fumbles: Number - Lost,13 - 6,12 - 6
Penalties: Number - Yards,78 - 663,69 - 676
Time of Possession / Game,31:24.58,28:35.42
3rd Down Conversions: Conversion %,36.07%,40.37%
3rd Down Conversions: Attempts - Conversions,183 - 66,161 - 65
4th Down Conversions: Conversion %,60%,57.89%
4th Down Conversions: Attempts - Conversions,20 - 12,19 - 11
Red Zone: Success %,79.07%,85.37%
Red Zone: Attempts - Scores,43 - 34,41 - 35
Field Goals: Success %,85.7%,85%
Field Goals: Attempts - Made,21 - 18,20 - 17
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,31 - 31,48 - 48
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
