Date,Opponent,Result,Game Time,Attendance
09/01/18,+ 13 Washington,W 21-16,3:28,70103
09/08/18,Alabama State,W 63-9,3:17,84806
09/15/18,6 LSU,L 21-22,3:32,86787
09/22/18,Arkansas,W 34-3,3:15,84188
09/29/18,Southern Miss,W 24-13,3:27,83792
10/06/18,@ Mississippi State,L 9-23,3:18,60635
10/13/18,Tennessee,L 24-30,3:30,84589
10/20/18,@ Ole Miss,W 31-16,3:16,56885
11/03/18,16 Texas A&M,W 28-24,3:26,85945
11/10/18,@ 7 Georgia,L 10-27,3:10,92746
11/17/18,Liberty,W 53-0,3:16,81129
11/24/18,@ 2 Alabama,L 21-52,3:17,101821
12/28/18,+ Purdue,W 63-14,3:20,59024
