Split,Record
All Games,8-4
at Home,4-1
on Road/Neutral Site,4-3
vs. Conference,8-3
vs. Non-Conference,0-1
vs. Ranked (AP),1-3
vs. Unranked (AP),7-1
vs. FBS (I-A),8-4
vs. FCS (I-AA),0-0
vs. FBS Winning,1-3
vs. FBS Non-Winning,7-1
vs. BCS AQ,8-4
vs. BCS non-AQ,0-0
vs. FBS Power 5,8-4
vs. FBS non-Power 5,0-0
in August/September,1-0
in October,2-1
in November,4-0
in December/January,1-3
