column_0,Boston College,Opponents
Scoring: Points/Game,25.7,22.8
Scoring: Games - Points,13 - 334,13 - 297
First Downs: Total,246,235
First Downs: Rushing - Passing - By Penalty,131 - 101 - 14,111 - 115 - 9
Rushing: Yards / Attempt,4.64,4.81
Rushing: Attempts - Yards - TD,618 - 2865 - 24,516 - 2482 - 26
Passing: Rating,111.28,101.84
Passing: Yards,2162,2495
Passing: Attempts - Completions - Interceptions - TD,367 - 198 - 12 - 16,410 - 211 - 18 - 10
Total Offense: Yards / Play,5.10,5.37
Total Offense: Plays - Yards,985 - 5027,926 - 4977
Punt Returns: Yards / Return,13.11,4.66
Punt Returns: Returns - Yards - TD,27 - 354 - 0,29 - 135 - 0
Kickoff Returns: Yards / Return,22.00,22.26
Kickoff Returns: Returns - Yards - TD,43 - 946 - 0,31 - 690 - 0
Punting: Yards / Punt,39.41,42.80
Punting: Punts - Yards,79 - 3113,90 - 3852
Interceptions: Returns - Yards - TD,18 - 388 - 2,12 - 101 - 1
Fumbles: Number - Lost,18 - 8,14 - 7
Penalties: Number - Yards,47 - 388,61 - 491
Time of Possession / Game,30:25.85,29:34.15
3rd Down Conversions: Conversion %,38.46%,37.02%
3rd Down Conversions: Attempts - Conversions,221 - 85,208 - 77
4th Down Conversions: Conversion %,40%,41.18%
4th Down Conversions: Attempts - Conversions,30 - 12,17 - 7
Red Zone: Success %,82.22%,80.95%
Red Zone: Attempts - Scores,45 - 37,42 - 34
Field Goals: Success %,60%,65%
Field Goals: Attempts - Made,20 - 12,20 - 13
PAT Kicking: Success %,93%,97.1%
PAT Kicking: Attempts - Made,43 - 40,35 - 34
2-Point Conversions: Success %,-,0%
2-Point Conversions: Attempts - Made,0 - 0,2 - 0
