Date,Opponent,Result,Game Time,Attendance
08/24/19,+ Miami (FL),W 24-20,3:37,66543
09/07/19,UT Martin,W 45-0,3:13,80007
09/14/19,@ Kentucky,W 29-21,3:32,63076
09/21/19,Tennessee,W 34-3,3:13,82776
09/28/19,Towson,W 38-0,2:47,79126
10/05/19,14 Auburn,W 24-13,3:31,90584
10/12/19,@ 1 LSU,L 28-42,3:18,102321
10/19/19,@ South Carolina,W 38-27,3:22,78883
11/02/19,+ 4 Georgia,L 17-24,3:17,84789
11/09/19,Vanderbilt,W 56-0,3:20,86201
11/16/19,@ Missouri,W 23-6,3:29,57280
11/30/19,Florida State,W 40-17,3:26,89409
12/30/19,+ Virginia,W 36-28,3:33,65157
