Split,Record
All Games,9-4
at Home,5-0
on Road/Neutral Site,4-4
vs. Conference,6-3
vs. Non-Conference,3-1
vs. Ranked (AP),2-2
vs. Unranked (AP),7-2
vs. FBS (I-A),9-4
vs. FCS (I-AA),0-0
vs. FBS Winning,4-4
vs. FBS Non-Winning,5-0
vs. BCS AQ,7-4
vs. BCS non-AQ,2-0
vs. FBS Power 5,7-4
vs. FBS non-Power 5,2-0
in August/September,3-1
in October,3-0
in November,2-2
in December/January,1-1
