column_0,Boston College,Opponents
Scoring: Points/Game,27.8,28.4
Scoring: Games - Points,11 - 306,11 - 312
First Downs: Total,240,246
First Downs: Rushing - Passing - By Penalty,83 - 133 - 24,102 - 115 - 29
Rushing: Yards / Attempt,3.10,4.71
Rushing: Attempts - Yards - TD,361 - 1119 - 11,400 - 1885 - 21
Passing: Rating,144.74,138.34
Passing: Yards,3126,2700
Passing: Attempts - Completions - Interceptions - TD,390 - 242 - 8 - 23,350 - 216 - 9 - 18
Total Offense: Yards / Play,5.65,6.11
Total Offense: Plays - Yards,751 - 4245,750 - 4585
Punt Returns: Yards / Return,4.58,5.77
Punt Returns: Returns - Yards - TD,12 - 55 - 0,13 - 75 - 0
Kickoff Returns: Yards / Return,17.65,22.97
Kickoff Returns: Returns - Yards - TD,23 - 406 - 0,36 - 827 - 0
Punting: Yards / Punt,42.44,41.97
Punting: Punts - Yards,43 - 1825,38 - 1595
Interceptions: Returns - Yards - TD,9 - 148 - 0,8 - 53 - 0
Fumbles: Number - Lost,13 - 6,17 - 12
Penalties: Number - Yards,84 - 725,82 - 740
Time of Possession / Game,31:00.27,28:57.00
3rd Down Conversions: Conversion %,44.22%,40.43%
3rd Down Conversions: Attempts - Conversions,147 - 65,141 - 57
4th Down Conversions: Conversion %,64.29%,81.25%
4th Down Conversions: Attempts - Conversions,14 - 9,16 - 13
Red Zone: Success %,84.31%,85.71%
Red Zone: Attempts - Scores,51 - 43,42 - 36
Field Goals: Success %,81.8%,70%
Field Goals: Attempts - Made,22 - 18,20 - 14
PAT Kicking: Success %,97%,88.9%
PAT Kicking: Attempts - Made,33 - 32,36 - 32
2-Point Conversions: Success %,66.67%,0%
2-Point Conversions: Attempts - Made,3 - 2,3 - 0
