Split,Record
All Games,3-9
at Home,3-3
on Road/Neutral Site,0-6
vs. Conference,2-6
vs. Non-Conference,1-3
vs. Ranked (AP),0-1
vs. Unranked (AP),3-8
vs. FBS (I-A),3-9
vs. FCS (I-AA),0-0
vs. FBS Winning,0-6
vs. FBS Non-Winning,3-3
vs. BCS AQ,2-7
vs. BCS non-AQ,1-2
vs. FBS Power 5,0-1
vs. FBS non-Power 5,3-8
in August/September,1-4
in October,1-2
in November,1-3
in December/January,0-0
