Split,Record
All Games,5-7
at Home,4-4
on Road/Neutral Site,1-3
vs. Conference,2-6
vs. Non-Conference,3-1
vs. Ranked (AP),0-3
vs. Unranked (AP),5-4
vs. FBS (I-A),4-7
vs. FCS (I-AA),1-0
vs. FBS Winning,1-5
vs. FBS Non-Winning,3-2
vs. BCS AQ,2-7
vs. BCS non-AQ,2-0
vs. FBS Power 5,2-7
vs. FBS non-Power 5,2-0
in August/September,2-3
in October,1-2
in November,2-2
in December/January,0-0
