Split,Record
All Games,5-5
at Home,2-3
on Road/Neutral Site,3-2
vs. Conference,4-2
vs. Non-Conference,1-3
vs. Ranked (AP),0-3
vs. Unranked (AP),5-2
vs. FBS (I-A),4-5
vs. FCS (I-AA),1-0
vs. FBS Winning,1-5
vs. FBS Non-Winning,3-0
vs. BCS AQ,4-4
vs. BCS non-AQ,0-1
vs. FBS Power 5,4-3
vs. FBS non-Power 5,0-2
in August/September,3-2
in October,1-1
in November,1-2
in December/January,0-0
