Split,Record
All Games,9-4
at Home,5-1
on Road/Neutral Site,4-3
vs. Conference,5-3
vs. Non-Conference,4-1
vs. Ranked (AP),0-1
vs. Unranked (AP),9-3
vs. FBS (I-A),8-4
vs. FCS (I-AA),1-0
vs. FBS Winning,2-2
vs. FBS Non-Winning,6-2
vs. BCS AQ,8-4
vs. BCS non-AQ,0-0
vs. FBS Power 5,6-4
vs. FBS non-Power 5,2-0
in August/September,3-1
in October,2-2
in November,3-1
in December/January,1-0
