Split,Record
All Games,4-8
at Home,3-3
on Road/Neutral Site,1-5
vs. Conference,1-7
vs. Non-Conference,3-1
vs. Ranked (AP),0-3
vs. Unranked (AP),4-5
vs. FBS (I-A),3-8
vs. FCS (I-AA),1-0
vs. FBS Winning,2-7
vs. FBS Non-Winning,1-1
vs. BCS AQ,2-8
vs. BCS non-AQ,1-0
vs. FBS Power 5,1-8
vs. FBS non-Power 5,2-0
in August/September,2-2
in October,1-3
in November,1-3
in December/January,0-0
