column_0,Tulane,Opponents
Scoring: Points/Game,34.7,28.1
Scoring: Games - Points,12 - 416,12 - 337
First Downs: Total,258,255
First Downs: Rushing - Passing - By Penalty,137 - 103 - 18,110 - 124 - 21
Rushing: Yards / Attempt,5.05,3.41
Rushing: Attempts - Yards - TD,516 - 2605 - 32,505 - 1720 - 16
Passing: Rating,125.36,149.62
Passing: Yards,2120,3344
Passing: Attempts - Completions - Interceptions - TD,313 - 165 - 10 - 21,395 - 239 - 9 - 27
Total Offense: Yards / Play,5.70,5.63
Total Offense: Plays - Yards,829 - 4725,900 - 5064
Punt Returns: Yards / Return,12.65,6.68
Punt Returns: Returns - Yards - TD,20 - 253 - 0,22 - 147 - 0
Kickoff Returns: Yards / Return,24.08,19.75
Kickoff Returns: Returns - Yards - TD,25 - 602 - 0,32 - 632 - 1
Punting: Yards / Punt,45.19,40.51
Punting: Punts - Yards,57 - 2576,57 - 2309
Interceptions: Returns - Yards - TD,9 - 142 - 1,10 - 200 - 1
Fumbles: Number - Lost,17 - 4,18 - 10
Penalties: Number - Yards,75 - 629,71 - 599
Time of Possession / Game,28:38.17,31:21.83
3rd Down Conversions: Conversion %,34%,40%
3rd Down Conversions: Attempts - Conversions,150 - 51,195 - 78
4th Down Conversions: Conversion %,54.55%,48.48%
4th Down Conversions: Attempts - Conversions,22 - 12,33 - 16
Red Zone: Success %,85.11%,75.61%
Red Zone: Attempts - Scores,47 - 40,41 - 31
Field Goals: Success %,60%,50%
Field Goals: Attempts - Made,15 - 9,18 - 9
PAT Kicking: Success %,98.1%,89.5%
PAT Kicking: Attempts - Made,52 - 51,38 - 34
2-Point Conversions: Success %,25%,33.33%
2-Point Conversions: Attempts - Made,4 - 1,6 - 2
