Date,Opponent,Result,Game Time,Attendance
09/02/23,Akron,W 24-21,3:40,12456
09/09/23,@ Rutgers,L 7-36,3:30,45317
09/16/23,Norfolk State,W 41-9,3:14,10932
09/23/23,Miami (FL),L 7-41,3:16,17234
09/28/23,@ Tulsa,L 26-48,3:23,17538
10/07/23,UTSA,L 34-49,3:39,18388
10/14/23,@ North Texas,L 14-45,3:28,13678
10/20/23,21 SMU,L 0-55,3:23,11232
11/04/23,Navy,W 32-18,3:04,13049
11/11/23,@ USF,L 23-27,3:41,30938
11/18/23,@ UAB,L 24-34,3:22,17486
11/24/23,Memphis,L 21-45,3:15,10830
