Split,Record
All Games,5-7
at Home,3-3
on Road/Neutral Site,2-4
vs. Conference,3-5
vs. Non-Conference,2-2
vs. Ranked (AP),0-1
vs. Unranked (AP),5-6
vs. FBS (I-A),4-7
vs. FCS (I-AA),1-0
vs. FBS Winning,1-6
vs. FBS Non-Winning,3-1
vs. BCS AQ,3-6
vs. BCS non-AQ,1-1
vs. FBS Power 5,0-1
vs. FBS non-Power 5,4-6
in August/September,2-2
in October,1-3
in November,2-2
in December/January,0-0
