column_0,Virginia,Opponents
Scoring: Points/Game,22.5,28.4
Scoring: Games - Points,13 - 293,13 - 369
First Downs: Total,241,245
First Downs: Rushing - Passing - By Penalty,78 - 141 - 22,125 - 101 - 19
Rushing: Yards / Attempt,3.13,4.65
Rushing: Attempts - Yards - TD,389 - 1216 - 10,557 - 2591 - 25
Passing: Rating,121.78,118.77
Passing: Yards,3233,2155
Passing: Attempts - Completions - Interceptions - TD,519 - 300 - 11 - 25,322 - 172 - 15 - 18
Total Offense: Yards / Play,4.90,5.40
Total Offense: Plays - Yards,908 - 4449,879 - 4746
Punt Returns: Yards / Return,4.45,12.84
Punt Returns: Returns - Yards - TD,22 - 98 - 0,25 - 321 - 2
Kickoff Returns: Yards / Return,26.98,24.46
Kickoff Returns: Returns - Yards - TD,41 - 1106 - 2,35 - 856 - 0
Punting: Yards / Punt,42.50,38.99
Punting: Punts - Yards,78 - 3315,71 - 2768
Interceptions: Returns - Yards - TD,15 - 154 - 1,11 - 234 - 4
Fumbles: Number - Lost,24 - 8,15 - 3
Penalties: Number - Yards,63 - 592,66 - 589
Time of Possession / Game,30:28.00,29:32.00
3rd Down Conversions: Conversion %,39.23%,36.7%
3rd Down Conversions: Attempts - Conversions,209 - 82,188 - 69
4th Down Conversions: Conversion %,39.29%,57.69%
4th Down Conversions: Attempts - Conversions,28 - 11,26 - 15
Red Zone: Success %,78.79%,72.73%
Red Zone: Attempts - Scores,33 - 26,44 - 32
Field Goals: Success %,66.7%,64.3%
Field Goals: Attempts - Made,12 - 8,14 - 9
PAT Kicking: Success %,100%,97.8%
PAT Kicking: Attempts - Made,37 - 37,45 - 44
2-Point Conversions: Success %,100%,25%
2-Point Conversions: Attempts - Made,1 - 1,4 - 1
