Split,Record
All Games,11-2
at Home,7-0
on Road/Neutral Site,4-2
vs. Conference,6-2
vs. Non-Conference,5-0
vs. Ranked (AP),3-2
vs. Unranked (AP),8-0
vs. FBS (I-A),10-2
vs. FCS (I-AA),1-0
vs. FBS Winning,5-2
vs. FBS Non-Winning,5-0
vs. BCS AQ,8-2
vs. BCS non-AQ,2-0
vs. FBS Power 5,8-2
vs. FBS non-Power 5,2-0
in August/September,4-0
in October,3-1
in November,3-1
in December/January,1-0
