Split,Record
All Games,2-10
at Home,1-5
on Road/Neutral Site,1-5
vs. Conference,1-7
vs. Non-Conference,1-3
vs. Ranked (AP),0-3
vs. Unranked (AP),2-7
vs. FBS (I-A),2-9
vs. FCS (I-AA),0-1
vs. FBS Winning,0-7
vs. FBS Non-Winning,2-2
vs. BCS AQ,1-9
vs. BCS non-AQ,1-0
vs. FBS Power 5,1-8
vs. FBS non-Power 5,1-1
in August/September,1-3
in October,1-3
in November,0-4
in December/January,0-0
