column_0,Alabama,Opponents
Scoring: Points/Game,33.8,17.4
Scoring: Games - Points,13 - 439,13 - 226
First Downs: Total,271,245
First Downs: Rushing - Passing - By Penalty,126 - 127 - 18,100 - 112 - 33
Rushing: Yards / Attempt,4.63,3.68
Rushing: Attempts - Yards - TD,488 - 2260 - 41,487 - 1792 - 10
Passing: Rating,146.40,112.37
Passing: Yards,3073,2369
Passing: Attempts - Completions - Interceptions - TD,354 - 226 - 11 - 17,395 - 236 - 17 - 13
Total Offense: Yards / Play,6.33,4.72
Total Offense: Plays - Yards,842 - 5333,882 - 4161
Punt Returns: Yards / Return,8.96,1.00
Punt Returns: Returns - Yards - TD,25 - 224 - 0,8 - 8 - 0
Kickoff Returns: Yards / Return,20.14,18.38
Kickoff Returns: Returns - Yards - TD,14 - 282 - 0,26 - 478 - 0
Punting: Yards / Punt,45.37,43.79
Punting: Punts - Yards,52 - 2359,63 - 2759
Interceptions: Returns - Yards - TD,17 - 242 - 0,11 - 200 - 2
Fumbles: Number - Lost,19 - 10,20 - 11
Penalties: Number - Yards,95 - 898,75 - 622
Time of Possession / Game,29:06.46,30:38.46
3rd Down Conversions: Conversion %,47.27%,32.8%
3rd Down Conversions: Attempts - Conversions,165 - 78,189 - 62
4th Down Conversions: Conversion %,50%,65.22%
4th Down Conversions: Attempts - Conversions,16 - 8,23 - 15
Red Zone: Success %,85.11%,78.38%
Red Zone: Attempts - Scores,47 - 40,37 - 29
Field Goals: Success %,80%,65.4%
Field Goals: Attempts - Made,10 - 8,26 - 17
PAT Kicking: Success %,100%,95%
PAT Kicking: Attempts - Made,57 - 57,20 - 19
2-Point Conversions: Success %,50%,40%
2-Point Conversions: Attempts - Made,2 - 1,5 - 2
