column_0,Tulsa,Opponents
Scoring: Points/Game,26.4,26.6
Scoring: Games - Points,13 - 343,13 - 346
First Downs: Total,294,253
First Downs: Rushing - Passing - By Penalty,126 - 138 - 30,93 - 134 - 26
Rushing: Yards / Attempt,4.55,3.88
Rushing: Attempts - Yards - TD,549 - 2496 - 20,479 - 1857 - 19
Passing: Rating,132.33,127.06
Passing: Yards,3244,2957
Passing: Attempts - Completions - Interceptions - TD,411 - 244 - 16 - 18,406 - 240 - 11 - 15
Total Offense: Yards / Play,5.98,5.44
Total Offense: Plays - Yards,960 - 5740,885 - 4814
Punt Returns: Yards / Return,3.30,14.31
Punt Returns: Returns - Yards - TD,23 - 76 - 0,16 - 229 - 1
Kickoff Returns: Yards / Return,15.21,25.75
Kickoff Returns: Returns - Yards - TD,29 - 441 - 1,48 - 1236 - 4
Punting: Yards / Punt,45.29,43.83
Punting: Punts - Yards,62 - 2808,60 - 2630
Interceptions: Returns - Yards - TD,11 - 115 - 1,16 - 279 - 3
Fumbles: Number - Lost,17 - 8,16 - 7
Penalties: Number - Yards,97 - 930,94 - 823
Time of Possession / Game,30:50.08,30:19.15
3rd Down Conversions: Conversion %,38.62%,38.67%
3rd Down Conversions: Attempts - Conversions,189 - 73,181 - 70
4th Down Conversions: Conversion %,47.37%,47.83%
4th Down Conversions: Attempts - Conversions,19 - 9,23 - 11
Red Zone: Success %,76.47%,84.21%
Red Zone: Attempts - Scores,51 - 39,38 - 32
Field Goals: Success %,95.7%,65.4%
Field Goals: Attempts - Made,23 - 22,26 - 17
PAT Kicking: Success %,97.2%,97.5%
PAT Kicking: Attempts - Made,36 - 35,40 - 39
2-Point Conversions: Success %,25%,100%
2-Point Conversions: Attempts - Made,4 - 1,2 - 2
