Split,Record
All Games,13-0
at Home,5-0
on Road/Neutral Site,8-0
vs. Conference,11-0
vs. Non-Conference,2-0
vs. Ranked (AP),5-0
vs. Unranked (AP),8-0
vs. FBS (I-A),13-0
vs. FCS (I-AA),0-0
vs. FBS Winning,6-0
vs. FBS Non-Winning,7-0
vs. BCS AQ,13-0
vs. BCS non-AQ,0-0
vs. FBS Power 5,13-0
vs. FBS non-Power 5,0-0
in August/September,1-0
in October,5-0
in November,2-0
in December/January,5-0
