column_0,Florida,Opponents
Scoring: Points/Game,23.9,16.8
Scoring: Games - Points,13 - 311,13 - 218
First Downs: Total,235,206
First Downs: Rushing - Passing - By Penalty,95 - 125 - 15,96 - 83 - 27
Rushing: Yards / Attempt,3.69,3.84
Rushing: Attempts - Yards - TD,452 - 1667 - 11,488 - 1875 - 16
Passing: Rating,123.41,92.86
Passing: Yards,2805,1931
Passing: Attempts - Completions - Interceptions - TD,410 - 241 - 15 - 18,328 - 148 - 16 - 8
Total Offense: Yards / Play,5.19,4.66
Total Offense: Plays - Yards,862 - 4472,816 - 3806
Punt Returns: Yards / Return,7.56,9.79
Punt Returns: Returns - Yards - TD,32 - 242 - 0,29 - 284 - 1
Kickoff Returns: Yards / Return,22.31,23.60
Kickoff Returns: Returns - Yards - TD,26 - 580 - 1,15 - 354 - 0
Punting: Yards / Punt,47.15,41.65
Punting: Punts - Yards,65 - 3065,78 - 3249
Interceptions: Returns - Yards - TD,16 - 321 - 4,15 - 171 - 2
Fumbles: Number - Lost,20 - 7,19 - 8
Penalties: Number - Yards,88 - 758,56 - 466
Time of Possession / Game,31:13.15,28:46.85
3rd Down Conversions: Conversion %,41.67%,34.81%
3rd Down Conversions: Attempts - Conversions,192 - 80,181 - 63
4th Down Conversions: Conversion %,46.67%,25%
4th Down Conversions: Attempts - Conversions,15 - 7,16 - 4
Red Zone: Success %,71.43%,71.79%
Red Zone: Attempts - Scores,42 - 30,39 - 28
Field Goals: Success %,84%,66.7%
Field Goals: Attempts - Made,25 - 21,15 - 10
PAT Kicking: Success %,100%,96.3%
PAT Kicking: Attempts - Made,32 - 32,27 - 26
2-Point Conversions: Success %,33.33%,-
2-Point Conversions: Attempts - Made,3 - 1,0 - 0
