Split,Record
All Games,6-7
at Home,3-4
on Road/Neutral Site,3-3
vs. Conference,3-5
vs. Non-Conference,3-2
vs. Ranked (AP),0-4
vs. Unranked (AP),6-3
vs. FBS (I-A),5-7
vs. FCS (I-AA),1-0
vs. FBS Winning,0-7
vs. FBS Non-Winning,5-0
vs. BCS AQ,4-6
vs. BCS non-AQ,1-1
vs. FBS Power 5,4-6
vs. FBS non-Power 5,1-1
in August/September,3-2
in October,1-2
in November,2-2
in December/January,0-1
