Split,Record
All Games,9-5
at Home,4-2
on Road/Neutral Site,5-3
vs. Conference,7-2
vs. Non-Conference,2-3
vs. Ranked (AP),0-2
vs. Unranked (AP),9-3
vs. FBS (I-A),8-5
vs. FCS (I-AA),1-0
vs. FBS Winning,3-4
vs. FBS Non-Winning,5-1
vs. BCS AQ,7-5
vs. BCS non-AQ,1-0
vs. FBS Power 5,0-3
vs. FBS non-Power 5,8-2
in August/September,3-2
in October,4-0
in November,2-1
in December/January,0-2
