Split,Record
All Games,3-7
at Home,2-3
on Road/Neutral Site,1-4
vs. Conference,0-6
vs. Non-Conference,3-1
vs. Ranked (AP),0-1
vs. Unranked (AP),3-6
vs. FBS (I-A),2-7
vs. FCS (I-AA),1-0
vs. FBS Winning,0-4
vs. FBS Non-Winning,2-3
vs. BCS AQ,2-6
vs. BCS non-AQ,0-1
vs. FBS Power 5,2-0
vs. FBS non-Power 5,0-7
in August/September,2-3
in October,0-3
in November,1-1
in December/January,0-0
