Date,Opponent,Result,Game Time,Attendance
08/30/24,Elon,W 26-3,2:58,18466
09/06/24,@ Northwestern,W 26-20,3:50,11062
09/14/24,Connecticut,W 26-21,3:22,20174
09/21/24,@ Middle Tennessee State,W 45-17,4:58,15209
09/28/24,North Carolina,W 21-20,3:37,35018
10/05/24,@ Georgia Tech,L 14-24,3:05,37287
10/18/24,Florida State,W 23-16,3:24,30735
10/26/24,12 SMU,L 27-28,3:43,30241
11/02/24,@ 18 Miami (FL),L 31-53,3:38,60189
11/09/24,@ NC State,W 29-19,3:37,56919
11/23/24,Virginia Tech,W 31-28,3:44,22462
11/30/24,@ Wake Forest,W 23-17,6:35,24776
01/02/25,+ 11 Ole Miss,L 20-52,3:26,31290
